,Longitude,Latitude,./alt23_pa.bil,./bio1_pa.bil,./bio10_pa.bil,./bio11_pa.bil,./bio12_pa.bil,./bio13_pa.bil,./bio14_pa.bil,./bio15_pa.bil,./bio16_pa.bil,./bio17_pa.bil,./bio18_pa.bil,./bio19_pa.bil,./bio2_pa.bil,./bio3_pa.bil,./bio4_pa.bil,./bio5_pa.bil,./bio6_pa.bil,./bio7_pa.bil,./bio8_pa.bil,./bio9_pa.bil
Longitude,1,-0.80542648,-0.162326336,0.168720546,0.169660292,0.161506798,0.155067561,-0.176579505,0.532181236,-0.629098812,-0.258678876,0.572273939,0.611496493,0.334769957,-0.445208913,0.595913339,0.29470201,-0.016854079,0.265206656,-0.73866155,0.142447243,0.126489693
Latitude,-0.80542648,1,-0.285536675,0.255941128,0.257042501,0.259576856,0.162886625,0.205117732,-0.048868139,0.140718793,0.263189499,-0.077742744,-0.31055655,0.089061901,-0.127253864,-0.80806596,0.1513607,0.350737494,0.208944119,0.272709383,0.288257037,0.324200167
./alt23_pa.bil,-0.162326336,-0.285536675,1,-0.995438498,-0.995292982,-0.994269032,-0.410181579,-0.127540098,-0.617015459,0.547584832,-0.059046837,-0.628553885,-0.44964109,-0.635691428,0.617065172,0.554339079,-0.868169335,-0.961398699,-0.986765992,0.343884319,-0.989164955,-0.994761649
./bio1_pa.bil,0.168720546,0.255941128,-0.995438498,1,0.999639162,0.999635683,0.398973449,0.147033835,0.592817951,-0.507145893,0.07550082,0.604662337,0.459076715,0.622471378,-0.58796305,-0.540740661,0.861920361,0.971798222,0.988124796,-0.323049299,0.990619157,0.991398811
./bio10_pa.bil,0.169660292,0.257042501,-0.995292982,0.999639162,1,0.99911692,0.400390663,0.145839647,0.595633414,-0.510347909,0.074871491,0.607538814,0.460969736,0.624727163,-0.588903031,-0.543235657,0.871036733,0.971773429,0.987991395,-0.322755861,0.989438203,0.991868274
./bio11_pa.bil,0.161506798,0.259576856,-0.994269032,0.999635683,0.99911692,1,0.406541069,0.158986275,0.592678155,-0.502750932,0.088367691,0.603680882,0.461702367,0.625996098,-0.584749595,-0.542372843,0.851815972,0.972750073,0.987537863,-0.319267298,0.991349619,0.991395571
./bio12_pa.bil,0.155067561,0.162886625,-0.410181579,0.398973449,0.400390663,0.406541069,1,0.797330056,0.809547915,-0.641504697,0.785519742,0.788825627,0.801859198,0.883629413,-0.444043696,-0.091246796,0.262683957,0.330566874,0.45141574,-0.413808995,0.44574947,0.438579071
./bio13_pa.bil,-0.176579505,0.205117732,-0.127540098,0.147033835,0.145839647,0.158986275,0.797330056,1,0.363145477,-0.086028999,0.979599859,0.32791826,0.552231624,0.519364839,0.060133409,-0.078853862,-0.071537524,0.188461762,0.139006157,0.076062966,0.184004179,0.153171967
./bio14_pa.bil,0.532181236,-0.048868139,-0.617015459,0.592817951,0.595633414,0.592678155,0.809547915,0.363145477,1,-0.910139358,0.301772988,0.993118668,0.85940979,0.908753694,-0.76245593,-0.002874463,0.567313243,0.439100813,0.680849722,-0.76377674,0.619732172,0.626991415
./bio15_pa.bil,-0.629098812,0.140718793,0.547584832,-0.507145893,-0.510347909,-0.502750932,-0.641504697,-0.086028999,-0.910139358,1,-0.058497099,-0.93253706,-0.703160114,-0.80705632,0.809321792,-0.026428335,-0.56070226,-0.329177974,-0.604301688,0.820080448,-0.523816764,-0.544007173
./bio16_pa.bil,-0.258678876,0.263189499,-0.059046837,0.07550082,0.074871491,0.088367691,0.785519742,0.979599859,0.301772988,-0.058497099,1,0.263821315,0.473489999,0.48116408,0.098785841,-0.109669728,-0.133694663,0.12835094,0.064453796,0.131451374,0.118272288,0.093124307
./bio17_pa.bil,0.572273939,-0.077742744,-0.628553885,0.604662337,0.607538814,0.603680882,0.788825627,0.32791826,0.993118668,-0.93253706,0.263821315,1,0.854005498,0.91084388,-0.793156118,-0.004173102,0.589786639,0.443223562,0.696041696,-0.794143365,0.623321392,0.632010441
./bio18_pa.bil,0.611496493,-0.31055655,-0.44964109,0.459076715,0.460969736,0.461702367,0.801859198,0.552231624,0.85940979,-0.703160114,0.473489999,0.854005498,1,0.804183549,-0.470292622,0.241472666,0.415197602,0.338959957,0.529835088,-0.600818026,0.472236939,0.451550832
./bio19_pa.bil,0.334769957,0.089061901,-0.635691428,0.622471378,0.624727163,0.625996098,0.883629413,0.519364839,0.908753694,-0.80705632,0.48116408,0.91084388,0.804183549,1,-0.657444282,-0.134240606,0.529317126,0.51489213,0.686772736,-0.601440836,0.646027419,0.659450084
./bio2_pa.bil,-0.445208913,-0.127253864,0.617065172,-0.58796305,-0.588903031,-0.584749595,-0.444043696,0.060133409,-0.76245593,0.809321792,0.098785841,-0.793156118,-0.470292622,-0.657444282,1,0.237316211,-0.596991882,-0.404511282,-0.694268363,0.880360699,-0.59792897,-0.615865984
./bio3_pa.bil,0.595913339,-0.80806596,0.554339079,-0.540740661,-0.543235657,-0.542372843,-0.091246796,-0.078853862,-0.002874463,-0.026428335,-0.109669728,-0.004173102,0.241472666,-0.134240606,0.237316211,1,-0.456490636,-0.637695638,-0.473632957,-0.248728148,-0.540054144,-0.565141173
./bio4_pa.bil,0.29470201,0.1513607,-0.868169335,0.861920361,0.871036733,0.851815972,0.262683957,-0.071537524,0.567313243,-0.56070226,-0.133694663,0.589786639,0.415197602,0.529317126,-0.596991882,-0.456490636,1,0.813430081,0.865583647,-0.371858083,0.834497515,0.859315425
./bio5_pa.bil,-0.016854079,0.350737494,-0.961398699,0.971798222,0.971773429,0.972750073,0.330566874,0.188461762,0.439100813,-0.329177974,0.12835094,0.443223562,0.338959957,0.51489213,-0.404511282,-0.637695638,0.813430081,1,0.925919639,-0.092860783,0.960543668,0.960725154
./bio6_pa.bil,0.265206656,0.208944119,-0.986765992,0.988124796,0.987991395,0.987537863,0.45141574,0.139006157,0.680849722,-0.604301688,0.064453796,0.696041696,0.529835088,0.686772736,-0.694268363,-0.473632957,0.865583647,0.925919639,1,-0.462070091,0.982103775,0.983866761
./bio7_pa.bil,-0.73866155,0.272709383,0.343884319,-0.323049299,-0.322755861,-0.319267298,-0.413808995,0.076062966,-0.76377674,0.820080448,0.131451374,-0.794143365,-0.600818026,-0.601440836,0.880360699,-0.248728148,-0.371858083,-0.092860783,-0.462070091,1,-0.333602134,-0.337823292
./bio8_pa.bil,0.142447243,0.288257037,-0.989164955,0.990619157,0.989438203,0.991349619,0.44574947,0.184004179,0.619732172,-0.523816764,0.118272288,0.623321392,0.472236939,0.646027419,-0.59792897,-0.540054144,0.834497515,0.960543668,0.982103775,-0.333602134,1,0.990774407
./bio9_pa.bil,0.126489693,0.324200167,-0.994761649,0.991398811,0.991868274,0.991395571,0.438579071,0.153171967,0.626991415,-0.544007173,0.093124307,0.632010441,0.451550832,0.659450084,-0.615865984,-0.565141173,0.859315425,0.960725154,0.983866761,-0.337823292,0.990774407,1
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,choose 15 or 17,,,,,,,,,,,
